record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Io        18:50 12 57 38.13 -04 49 06.0 2000.0 dra=1.0025 ddec=-7.57 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        19:00 12 57 38.30 -04 49 07.3 2000.0 dra=1.0249 ddec=-7.73 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        19:10 12 57 38.48 -04 49 08.6 2000.0 dra=1.0471 ddec=-7.89 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        19:20 12 57 38.65 -04 49 09.9 2000.0 dra=1.0693 ddec=-8.05 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        19:30 12 57 38.83 -04 49 11.2 2000.0 dra=1.0915 ddec=-8.20 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        19:40 12 57 39.02 -04 49 12.6 2000.0 dra=1.1135 ddec=-8.35 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        19:50 12 57 39.21 -04 49 14.0 2000.0 dra=1.1354 ddec=-8.51 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        20:00 12 57 39.40 -04 49 15.5 2000.0 dra=1.1572 ddec=-8.66 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        20:10 12 57 39.59 -04 49 16.9 2000.0 dra=1.1788 ddec=-8.81 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        20:20 12 57 39.79 -04 49 18.4 2000.0 dra=1.2004 ddec=-8.96 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        20:30 12 57 39.99 -04 49 19.9 2000.0 dra=1.2217 ddec=-9.11 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        20:40 12 57 40.20 -04 49 21.5 2000.0 dra=1.2429 ddec=-9.25 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        20:50 12 57 40.41 -04 49 23.0 2000.0 dra=1.2639 ddec=-9.40 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        21:00 12 57 40.62 -04 49 24.6 2000.0 dra=1.2847 ddec=-9.54 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        21:10 12 57 40.84 -04 49 26.2 2000.0 dra=1.3053 ddec=-9.68 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
