record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Uranus    17:40 01 45 33.94 +10 17 14.8 2000.0 dra=0.1113 ddec=0.605 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    17:50 01 45 33.96 +10 17 14.9 2000.0 dra=0.1113 ddec=0.604 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    18:00 01 45 33.98 +10 17 15.0 2000.0 dra=0.1114 ddec=0.603 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    18:10 01 45 34.00 +10 17 15.1 2000.0 dra=0.1115 ddec=0.602 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    18:20 01 45 34.02 +10 17 15.2 2000.0 dra=0.1116 ddec=0.601 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    18:30 01 45 34.04 +10 17 15.3 2000.0 dra=0.1117 ddec=0.599 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    18:40 01 45 34.06 +10 17 15.4 2000.0 dra=0.1118 ddec=0.598 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    18:50 01 45 34.08 +10 17 15.5 2000.0 dra=0.1120 ddec=0.597 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    19:00 01 45 34.10 +10 17 15.6 2000.0 dra=0.1121 ddec=0.596 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    19:10 01 45 34.11 +10 17 15.7 2000.0 dra=0.1123 ddec=0.596 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    19:20 01 45 34.13 +10 17 15.8 2000.0 dra=0.1124 ddec=0.595 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    19:30 01 45 34.15 +10 17 15.9 2000.0 dra=0.1126 ddec=0.594 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    19:40 01 45 34.17 +10 17 16.0 2000.0 dra=0.1128 ddec=0.593 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    19:50 01 45 34.19 +10 17 16.1 2000.0 dra=0.1130 ddec=0.592 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    20:00 01 45 34.21 +10 17 16.2 2000.0 dra=0.1132 ddec=0.591 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    20:10 01 45 34.23 +10 17 16.3 2000.0 dra=0.1134 ddec=0.590 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    20:20 01 45 34.25 +10 17 16.4 2000.0 dra=0.1136 ddec=0.590 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    20:30 01 45 34.27 +10 17 16.5 2000.0 dra=0.1139 ddec=0.589 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    20:40 01 45 34.29 +10 17 16.6 2000.0 dra=0.1141 ddec=0.588 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    20:50 01 45 34.31 +10 17 16.7 2000.0 dra=0.1143 ddec=0.588 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
